Sentiment,Review
Positief,"I have been playing car racing games since their early beginning on PC. I currently have a logitech G25 force feedback wheel to play with.I have played most of the Colin Mc Rae, Need for speed, Grid and Dirt2 games before. I also tried my hands at more simulation oriented games like GTR, GTR2, GP Legends...Dirt2 came in as a nice and pleasant surprise. Dirt3 tops it off.As I am sure many will detail everything about this game, I will limit myself to the most important points for me.Pros:- Amazing graphics- Amazing physics- Challenging but entertaining racesCons:- Gymkhana- InterfaceWhat went through the conceptors mind about gymkhana? Racing is not easy for most but gymkhana is really a pain in the neck.I saw the videos of Ken Block on Youtube and indeed he is really impressive. Am I even dreaming of doing the same? No!Racing require good racing skills to start but Gymkhana requires a perfect control of the vehicles and most of us will never achieve such level. So I find the attemps slightly pointless and extremely frustrating.Now, what about the interface? Simply put, it does not remotely compare with Dirt2's interface. It is messy, I had to search online to figure out where to find my best times. There are not enough info about the cars, the races, the sponsors... It leaves a lot to desire. A complete miss.Conclusion:As far as rallye racing. This game is the best out there today.If you are one who needs crazy challenges, try the gymkhana and good luck!In spite of my criticism, I definitely do not regreat this purchase."
Negatief,Dirt 3 on DVDi collect racing games so had to add this to my collectionSon wated one also
Negatief,"I bought this and the key didn't work.  It was a gift, and the recipient wasn't able to solve the problem.  It might have been a good game, but I never found out because the key failed."
Negatief,Crashed in Vista.  Codemasters told me they don't support it in Windows 8.  Couldn't get it to work even after looking on the Internet.
Negatief,"This game was a rip-off.  It has less terrain, less tracks, and less features than DiRT 2.  The graphics are about the same.  Not worth the money, at all."
Negatief,"This really is a step up from Dirt 2. Better graphics, cars seem a little more responsive. Overall it was worth almost the money, but of course, I wait till the games are ""old hat"" and buy them cheaper.The really bad thing is having to buy tracks and cars. Nope, I'm never going to do that and I think it is a crappy deal, but that's life. If I had known about the lack of tracks and cars, I would have passed. There's no real reason to finish the game, as it's just more of the same without paying a bunch of money to get all the ""extras"", that should have been in the game to begin with."
Positief,"This game is bug landFirst had problems installing because it required some windows market software. Then it did not have any voice sounds. Then it was running on windowed mode only. Now, everytime I end a track it just crashes the computer (BSoD).I give up. Codemasters, next time, dont rush a game out just because you have to. Test the game! If not for yourself for Colin himself. If he was alive he would be embarrassed.And don't buy the game using Steam because if it does not work, Steam will show you the finger :)"
Negatief,"DiRT 2 was like this.  I'm becoming more & more suspicious of games like this that require a continuous open Internet to play.  It just seems like bait set out for some young naive prey to fall for.  Does anyone honestly believe that personal information is collected for no particular reason?  I don't care what they say publicly.  Any assurances of privacy protection are quite hollow without close oversight, and nobody's looking.  It's quite a different thing to knowingly step out into a multiplayer server where you know you're being tracked, but this type of continuous spying is something more.  That aside, this carrot on a stick has more problems than just security.CONS - Requires open Internet (Windows Live) to play.  Annoying interface.  Continuous reminders to upload and download things you already selected not to do.  Most settings don't keep between sessions.  Setting up a race takes way too long.  Irritating ""music"" you can't turn off (it keeps coming back).  Takes too long to unlock things.  Entire career mode is pointless when the game setup is so irritating I just wanted out.  Video stuttering (possibly my equipment).PROS - Eye candy.  Plenty of game modes.  Enough tracks to get going.  Fairly good variety of cars.  Scaled difficulty levels from casual to advanced.I think this franchise, like many others, continues soley for the purpose of farming user information; where it seems the real money is.  If I can't turn it off, and some else controls the on-off switch, that's a problem.  Sometimes it might be worth it, but not here.  I found some entertainment value, but very briefly.  Anyway,  just my opinion..."
Negatief,lot of people don't like RALLY because they already tried gran turismo game. to tell you the truth gran turismo RALLY physic is just boring boring boring. gran turismo only good for racing simulation but RALLY part is suck!!!!  dirt 2 amazed me how much fun it was and now dirt 3 with 3 time more race tracks than dirt 2.  MUST BUY!!!!!!!!!!
Positief,"I would like give this game 4 or 5 stars, if I could get it to run. Like others the game crashes on start-up or in the game and Codemasters has been absolutely no help in correcting it. Why they can't get their asses in gear (pun intended) and fix it I don't know, but with so many folks reporting the problem it isn't just occasional. I assume they either can't replicate the problem or just don't care. Lacking any help from Codemasters, I've tried the various fan fixes, including uninstalling Rapture 3D. Also tried installing on Vista and Win 7 and that didn't help either, which is a shame since from the other reviews it seems like a great racing sim."
Negatief,"The game itself is great, but Games for Windows Live is such a frustrating piece of garbage.  I wish it would just die and stop bringing down my PC gaming experience."
Positief,"This is a pretty fun game, but you have to buy most of the cars and tracks from the online store. The game claims to provide so much more content, however, the ""scam"" is, that you don't get that content with the game. You need to buy it. If you win races you will get a message saying ""YAY! You can now purchase your new car from the online store!!!""OMG REALLY??? I CAN SPEND MORE MONEY ON A GAME I ALREADY PAID FOR??? NO WAI!!!!But overall, if you don't mind playing with the same default cars all the time, it's a pretty fun game. I really only play online mode, which allows you to race against other people. The computer on this game is WAY to easy so single player isn't any fun. You could drive backwords and still beat the computer."
Positief,"This is a must have for any gamer. Codemasters really hit a home run on this one. I would like to see F1 2011 be this good using the ego engine 2.0 and the physics model in this game is right on the money. This game is the reason everyone should buy the best graphics card they can afford. I am using a nvidia 460 overclocked, and I have on order a 590. I want to run this game with everything on highest level. I swear to you that even with the 460 + , the graphics are very realistic and I really enjoy racing at ground level. This game makes Codemasters the king of graphics realism. BUY THIS GAME !!!!!December 6, 2011  I saw my review of the Internet and wanted to update it for you. First of all anyone with this program, BUY the extra environments and cars. It is money well spent and a first class job of an addon. I wanted everyone to know that this program is still the top of the heap in graphics. I bought Battlefield 3 and it is good, but not the standard of the ego 2 engine. Codemasters are the king of graphics so far and I find that the more realism a game has, the more adicted you will become. No other program running with all variables to the max, looks like Dirt 3. Thank God for codemasters and I can hardly wait for GRID 2 in the summer."
Positief,"Works good, however is not ""like a new"" with a little not important defect in appearance!Really good, and works fantastic!"
Positief,"I bought this microphone to further enhance my Rock Band experience.  I was not disappointed.  It kept in tune well (which was a problem I saw with other microphones) and was light enough to not be a burden of any kind.  I don't mind that it is not wireless, since I wouldn't move around much anyways.  Also, the fact that it doesn't have buttons didn't bother me, mainly because I don't mind using a controller to navigate.  I do think it could have been packaged better, but I don't fault the microphone for it.  Overall, a very simplistic, yet functional, design that works well."
Positief,I love it! Use it all the time. Really works perfectly with all games that you need a mic for.
Positief,"Works great!Another cool thing, even if a song doesn't have ""harmony"" (parts for more than one singer) you can still do fake-harmony as all mics plugged in remain active.  However, the back-up singers will not be rated and will actually mess with the lead as the game doesn't differentiate what mic is being used for lead UNLESS there actually is a harmony part.  Meaning = if you're just singing to party, you can use all three mics on any song and they'll all just be treated as lead.  Pretty cool when you have a room full of mic hogs around the house like we do.  lol  It's just like when people would gang up all on one mic during a song, but now they actually feel like rock stars having their own mics.  For this reason, we just always keep all three mics plugged in and anyone can just pick one up and join in.  Just don't expect a good score ;-)"
Positief,my grandkids (and their parents) love playing with the microphone along with the guitar we got.this really is a lot of fun for everyone.  would totally recommend getting this if someone has an interest in music (singing)...
Negatief,"I cannot get this thing to work with my Wii Rockband 3.It might be related to the USB hub that I'm using, but it simply refuses to be detected by the game.Cosmetically, it's a microphone. Bit on the ugly side.I would be wary of compatibility issues with this one."
Positief,We bought this item for our Wii. It does not work at all for it. :-( So that was a disapointment. We did decide to keep it though because it works wonderfully on our x-box 360.
Positief,"Great game! I love the storyline and graphics, as well as the fighting style. Minus the super long time it takes traveling the ocean, this game is a blast, and a must-have for any fan of the Zelda franchise."
Positief,"I played the original Zelda as a boy.  I've enjoyed a lot of good times playing this updated version with my 10 yr. old son.  Great adventures and game play, and luckily we can find tips for problems we confront on the internet.  Very well designed game that is user friendly.  Awesome."
Positief,"lookin for a rpg? this is the game for you. filled with many hours of gameplay to find all the hidden items. casual gameplay, unless you try to collect everything, then it's hardcore. good controls and challenging puzzels give this game its rateing."
Positief,"Ocarina was almost beyond word. But this is a cruising, powerful, and fun rival! The worst thing about it is the seemingly endless confusing ocean. I do not look forward to trying to finger out witch Island I have to go to in which order (as I think there is an order). But I ignore all that for now and just enjoy the wonderful game. cruising blue waters, mystery, dungeons... And I still enjoy exploring the Islands."
Negatief,"Are 9 out of 10 GAMECUBE games like this little kid's game terrible? Answer: YesI bought the game, and I regret it so much!"
Positief,"So, it's definitely original, and true to formula, but there are a few aspects about this game that just don't make sense to me. The cell-shaded graphics take some getting used to, but I like them.My biggest complaint is that sometimes I'd be sailing somewhere, and could leave, make a sandwich, eat that sandwich, and come back, and still not be at my destination. Also, not including the side-objectives, it's a relatively short game.Is it better? No. Is it a Zelda worthy of the title? Yeah. I recommend at least playing it before making judgments or assumptions."
Positief,My oldest grandson loves this game. I can remember playing it when I was young and it was good back then but even better now.
Negatief,"While the product is what it is described as, it unfortunately will give me no signal whatsoever. I believe it is a fault of the a/v cable side, as plugging that in, unplugging it, blowing on it, hissing at it, calling it names, then plugging it back in seems to make it work again. I did check and have the problem across more than one tv, so it's not the tv's fault. I have no way to determine with confidence if it is a fault of the Wii, but I doubt so, as the Wii has no problem with its standard definition cabling that it came with (why, Wii, did you not include component/hdmi cabling by default? HD isn't that rare). Ah, but it is the most inexpensive version of this cable I could find, and the picture is markedly better using this than the original cabling."
Positief,This product is very good and works fine. Buy it if you want it. it lets your we display in HD format of 480p which looks alittle better than normal Av cable it comes with. To the untrained eye you might not even notice the diffrence.
Positief,"This was exactly what was needed and has worked flawlessly since being received. I recommend it, if you need one."
Negatief,"I was very disappointed in this item.  We thought we would get a better picture than the standard WII video cables, but definatley took a leap in the wrong direction.  I would not recommend."
Neutraal,i got this to hook up me will to my 72inc h/d tv it set it up to 1080i not 1080p but besides that it's a grate cable!!!
Neutraal,"The movers packed my Wii cables in a separate box so I couldn't find them. I ordered this as it would be quicker and I wasn't disappointed. It is inexpensive and it works. I did have my Wii setup manual so it was no problem to get up and running right away. Sometimes you get what you pay for, and sometimes it is better."
Positief,I enjoyed the first Hawx game. However they left out some key things in Hawx 21) No coop mode - I really enjoyed that2) Can't choose your own plane right off the bat. You have to use whatever they tell you.Those two things will make me not play this game anymore!
Positief,"I loved the first Hawx PC game when it came out. Playing Hawx 2 got boring after several missions, is just a shame."
Positief,This is a nice little arcade game with good graphics and some good chatter. It's fun to play with after spending time with DCS Blackshark.  It's a good shootem up. enjoyable!
Positief,"Anyone who has ever played a flight sim can tell this is not like A10-warthog just by reading the info on the game.This is an arcade type game with some sim stuff add to make it sell more and be kind of fun and fast to play.Sometimes we all just want to blow the (blank) out of things and unwind.This is fairly well made and the graphics are ok for what it is(a game).If you want a real flight sim this is not it.If you just want to get online and have some fun with others for a while this is it.The target aircraft can do hard right and left turns that would take the wings of any aircraft and thats not right but this is a game and not a sim.This was made sometime ago and graphics have come along way but it is ok for it's time.You will not have any issues installing this or running this game on most systems with a gtx460 or better.You can max out all setting with one evga gtx560ti 2gb video card.The install dose take some time to get done and it will update for you when you run the sim the first time.This all takes 30min or so counting the install of the game.It is what it is and thats a game not a flight sim but it is fun to play a few hours now and then.I have a solid system and have had no issues running this at all.If you are looking for a real flight sim that has ture reallistic flight of the aircraft and working cockpits, this is not for you.Try A10-warthog or wings over europe or wings over vietnam or IL-2.These are flight sims and run well on any solid sysetm with xp or windows 7 running."
Positief,"There are at least 5 missions that cannot be completed without joining the forum, then the Creator's Forum, and a lot of research, downloading, etc.  4 of these defective missions were built by ""Bottman""...someone that should definitely find another occupation.BUT...do not waste your time because the missions are incredibly boring and far from challenging.  The ones they label as ""Hard"" are as easy as those labeled ""Easy"".  My 6-year granddaughter could do most of them after 15 minutes of instruction.Do not buy this product.  The GFX are circa 2003, the user interface far from intuitive, and the support abysmal. It's a waste of money & time.Too bad.  Ship.sim 2006 was actually better....AND all the missions worked.  Vstep took one giant step backward."
Positief,"The most amazing graphics you could see! If you own a flight simulator yoke and/or throttle quadrent you can make your gaming experice easier. The Crash effects may not show in trailers or videos, but in the actual game you can see the damage. I higly recomend to purchase this product. Happy Sailing! To Reader: THIS IS NOT A LITTLE LITTLE KIDS GAME IT IS COMCLACATED!"
Positief,"I love this simulator it is a lot of fun controlling ships and boats. I only wish the color was better, because all the water is usually grey. But, other than that you will have a great time if you love ships."
Positief,This game is a good way on getting at the helm of the RMS Titanic and I am very well satisfied with it. I do hope that any of you who does decied ot buy it will also enjoy it.
Neutraal,"I still have my silicone protective case and it hasn't let me down a single time! Very durable, high quality and hasn't rip at all!"
Positief,nice cheap made cover it doesnt fot very tight but it does the job if you want to extend the life of your controller this is it
Positief,"covers the controller more then others and is pretty durable, great grip to it as well and keeps its color, looks solid."
Positief,its looks awesome but the down side is that it kinda slides when playing with the controller but still like it
Positief,nice skin for xbox controllers makes them more slip free and smooth softer too good deal and nice stuff try one
Positief,I'm revising my earlier review. i had only rated my transaction 3 stars previously due to shipping problems. After the seller contacted me to do what they could to help with the problem I have to reconsider. They contacted me promptly and went above and beyond in their effort to make me happy. Thank you. This was the second case I've purchased and would recommend it to anyone. Thanks again.
Positief,"I've bought these before.  They slip right on and unless you get one with an obvious defect, they should last for years.  These are a must have if you are afraid of your kids messing up your controllers.  Then again, maybe they should get their own! lol"
Negatief,"This silicone cover has a very nice feel to it! Don't use this with dirty hands, dirt will stick to it. This is a ok product for your 360 controller."
Positief,Put on my controllers so it would like not get wear and tear and they are great! BUY! THEM!! AMAZING
Positief,"My brother had one of these for the longest time so I used his until he wanted it back.  I found this a lil while ago and have been loving it ever since, giving the controller much needed grip and makes holding it for long gaming sessions much more comfortable."
Positief,"Easy install and feels great. The skin fits really well and functions properly. I did have to trim up around the triggers because they moved around while I used them, but after that it was perfect."
Positief,My son loves it he says it makes it more comfortable and easier on his hands for those marathon Black Ops 2 sessions.
Positief,"As soon as I slipped this on my controller, I knew that I'd never take it off!!  It makes the controller much more comfortable in your hands, and does not slip if you play for a long time and tend to get sweaty fingers!"
Positief,Have had this skin for almost 2 months and so far there are no signs of wear or tear which is good. Its sticky just enough to be grippy but not overly so. It protects the controller fairly well. Keeps it from getting dirty as fast especially if you have a white controller.Overall it feels good and is comfortable even in long play periods. The only problem I have is there is annoying little piece up by the triggers on both sides. Its right in between the trigger and the bumper buttons and there is no tension on the piece so when you switch between the bumper and triggers it can sometimes flip up and your finger will catch it. Not really a deal breaker or a big deal or anything since I plan on cutting it off anyways. Plan on buy another so far after this one falls apart. Will update my review if it doesnt last long.
Positief,"This is not the first one of these I have had, in fact this is about my 8th. There are many different skin types and different skin makers, so you have to judge each on it's own merit. My controller skin arrived today, well ahead of expected delivery, just as described solid black and silicone. Fit is just perfect, and installation had no problems. Good comfortable smooth texture, while still providing a much better grip than on the hard slick controller plastic. I like to clean my game equipent regularly, and I always clean even new items before using. This is a great way to test the quality of the item, I cleaned the skin using isopropanal alchohol, no gumming (like you get with lower grade skins)and no color bleed onto the rag, this tells me it is definitly silicone not some rubber stuff. Once on the controller grip is good, comfort is good, feel is natural. I am very pleased with this controller skin, I have been needing to get one for my extra controller. I will definitly be ordering a few more later, a friend has a birthday coming up."
Positief,"Great protection and grip for a while, but like a latex glove, it stretches out after a little time.  For the price, a great deal."
Positief,"Not the greatest, but gets the job done. For the price I cannot complain, it is pretty delicate, but it is rubber what do you expect/"
Positief,"I really like this skin. It makes the controller nicer to play with, and looks nice as well.Yes, i would recommend this to a friend."
Positief,"Considering its just a rubber cover for the XBOX 360 controller, actually, it's made well...and the price--not bad at all. Excellent product for an excellent controller."
Positief,"Unlike others on this site, these fit very good and the material is durable, which is of utmost importance to me.  I'm glad I found this item."
Neutraal,advertised as more durable then they appear in person..but they are tight fitting and completely more protection..then say..Nothing and they do look more style-ish then plain..
Positief,put this on my controller no hand cramps after 7 hours of all night gaming. if you want to make the controller a little bigger and easier to hold this is what you want.
Positief,It works perfectly! Nothing is wrong with it.
Positief,"Not sure what you can really write about this item, it works fine... I use it on the Wii to play Gamecube games and it works great and fast, but the Gamecube was always much faster than PS2 anyway..."
Positief,"Bought this for an old  gamecube i recently won in an auction.  Seems to work just fine, purchased a few more since it works and the price is right."
Positief,"Works great with my game cube. I haven't tried it with a wii, but by the description, it should work there too."
Positief,"just right! works great , I' ll be ordering again laters! hope you will still be there then! see you!"
Positief,"This is a great and cheap memory card. It is what it is.....it is compatible for Wii and gamecube its 64 MB 1019 block memory. If you need one , but it.Great product"
Positief,Works great.  Cheap price and way more memory than on the Nintendo make.  Really great for you retro fans out there.
Positief,Works perfectly for the game cube I purchased. Came very quickly and i would buy this again when i need to.
Positief,One of the largest memory cards for the gamecube. It works great and loads fast. No need for formatting at all.
Positief,"My lady dug out her kids old gamecube and games and started playing her old favorite Harvest Moon titles. She quickly discovered the memory card wasn't there anymore when she couldn't save her games. So in search I went.I was surprised to find these were still available and not too expensive. This one does the trick, has room for quite a few saves. She is happy, so I am happy."
Negatief,This thing was DOA. It wasn't even worth returning for the money I spent on it. Don't waste your money on this card.
Positief,This allows me to preserve whatever precious space I have left on my console for other stuff. I may purchase another one in the near future.
Positief,"I bought this because I recently bought a gamecube for old times sake. This memory card works great, and was one of the cheaper cards."
Positief,well atleast one of them worked what else could you want for the price. the other one works too just not all the time
Neutraal,"These things work really great and can be combined for even longer cable lengths but be warned that the rubber shielding seems to slip around the plug head. Not a big deal, but could lead to eventual short."
Positief,The product was just as the picture and works fine.  It is long enough to play comfortably at a distance.  There is no delay in control using this product.
Positief,"My nephew wanted an older gamecube game to play in our Wii. Once I purchased the game for him, we found out that the Wii controllers won't work with the gamecube games when played in the Wii. After doing a little research, I realized we needed the classic gamecube controller and a gamecube memory card. Once we got both of those, the gamecube game that we bought finally worked! After playing the game for a bit while being &#34;tethered&#34; to the Wii system because of the cable for the controller, we decided we needed extension cables to have a bit more freedom. So we got these controller extension cables. He is happy!"
Negatief,"And now I can sit back far enough to see my entire TV and avoid wielders burn in my retina.  So simple, yet so obvious a necessity given how freaken short the big &#34;N&#34; made their controller's cords.  Buy them now and heal your spine!"
Positief,These are great. If you have a wii and use your GameCube controllers these are a must have. I can sit on the couch and not have to lean in towards the console and have the freedom to move around. They're perfect
Positief,"I play Brawl and Melee all the time with my siblings and friends, and sitting squished together 3 feet from the tv was a pain. So I got these cables because it was cheep and could solve most of our problems with this, even if it did not look like they would last long from some of the reviews. but when i got these they worked great and did not seem cheap at all. I expected there to be lag with the controls, but there wasn't. They have survived a month of intense fighting and are still in top-notch condition. These are great if you need room or do not like sitting 3 feet from the screen."
Negatief,I bought these to extend the length of the game cube controller reach. Everyone that uses these has no issues with poor controller reaction times and can sit just about anywhere to play.
Positief,"Works exactly as advertised. Bought these along with a 2-pack of controllers for the GameCube, as my TV is a ways away from my couch and i wanted to play multi-player with my wife. The controller plugs into the extension cable about as snugly as the controller (and the other end of the extension cable) plugs into the GameCube, which is to say plenty snug enough to keep it in while moving the controller and cable around semi-violently, but not snug enough to keep a controller attached after being thrown across the room (just an example). One major concern I did have when I bough these was the possibility of lag due to the signal from the controller having to travel farther. This concern was unwarranted, as I have noticed no difference in response time either way. On durability, I've had these for almost 2 years and they haven't shown any noticeable signs of wear. Throw in a reasonable price ($4 when I bought it from Amermedia in 2012) and this is a heck of a deal for people that need a product like this. I would recommend."
Positief,"They work fine but i feel like they have a little lag to the controls when i use it on my controller. And out of the two, one is already ripping. They get the job done but i dont think they will last very long."
Positief,"At 6 feet and at 4 dollars each its a good deal, ive seen some other cables for much more and these work just fine, i like that theyre black  and they connect into the controller with ease. buy it with confidence."
Negatief,This Cable extender worked great! I used it when and had absolutely no problems with it at all! It adds a good 6ft of extra cable length. I tried hooking two together and I found no extra input lag using these cables.Great if you need the extra cable!
Positief,"With the amount of interference I kept getting with the wireless controllers, I was stuck far too close to the TV to enjoy many of the visual aspects of the classics. This cable extension cord made playing some of my old Gamecube games just as fun as the day it came out. A big must have if you can't get the wireless format to work properly."
Negatief,"i bought the 2 x Wii Gamecube GC Extension Cable Cord  but after a few uses, it started working wrong, duplicating signalsif i press A in the controller, the game detects A being pressed two times, this is for all buttons,  without the cord the error is no longer there."
Positief,They're awesome cables though!  They work great and add those several feet you always seem to lack.  Now I can play my Gamecube games on my Wii from the couch!  No batteries to change!
Negatief,"I purchased these for my Wii as Nintendo no longer produces Wavebird controllers by virtue of them being sued by a patent owner over the technology. I didn't want to pay for a used Wavebird on eBay, so I bought some of these. I sit back from my HDTV about 9 feet so I needed these for the wired Gamecube controllers and they work very well. Even with Mario Kart Wii, there is some lag with the Wavebird, but there is no lag with these extension cables. Highly recommended!"
Positief,"My living room is fairly large, so these chords make it nice to play games which require the old controllers. My family can play video games from the comfort of our couch rather than sitting on the hard floor close to the console."
Negatief,"One of them broke immediately, the other one still works, I guess they're just too cheap and there's no telling if it will actually work longer than two days."
Negatief,I can now sit on the couch to play instead of putting a chair in front of the TV. There are no problems.
Positief,"I have used these for months.out of no where no matter what happened it always looked like the joystick always was stuck going right. no matter what game or what controller i used, it always was going right. The other one is fine though.If you find one that is better quality definitely go with that one instead of these.Cool idea though..."
Negatief,"I bought 4 of these, 1 of which was shipped to me with defects, and 2 more became defective within about 2 weeks of normal use. I would not recommend these to any one, but couldn't give a 1 star as1 of 4 cords still works fine"
Positief,"For people who still have a GameCube, but don't have a wireless controller (don't bother, you'll be disappointed because none of them come with the damn adapter,) these cords are fantastic. I can take my controller all over the house with them if I please, and they don't cause lag or short out to any degree I can tell. They're not shoddily-made and have lasted well so far. I'd buy them again."
Positief,"These awesome-sauce things make any GC controller as far extended as a wavebird. Given these days any games I have time to play are all via the Wii anyway, having the extra length for GC controllers is great."
Positief,I bought 2 sets of this product (so 4 cables total). I was not disappointed. They all work perfectly and they accomplished what I bought them for. I have 2 big screen TV's and the 2 rooms I use for these have couches that sit back a lot further than the standard gamecube controller cord would reach. Hook 1 of these extensions up to each controller and problem solved. I also like the length because I still had room to go back farther but this allowed each cord to rest on the ground so there is less of a tripping hazard for those people that never fail to walk in front of everyone and don't pay attention to the cords. They even work for Bongos so that is a nice feature to be able to move the bongos back as well for those games.
Positief,"I always hated how Gamecube controller's cords were so ridiculously short. Since I use them on my Wii now, it is much more hazardous for my Wii if someone trips over the short cables. This was a perfect solution to my problems. So far I haven't had any problems with them and they allow me and my friends to not sit 6 ft away from the Wii. Another great thing about these is that you can plug them end on end to make a longer cable."
Positief,"This isn't a particularly deep product. They are wire extenders to be used for the Nintendo Gamecube controllers. They come in a pack of two which is fantastic for the cheap price. They extend approximately 6 feet in length, and with the already fairly long wire on the Gamecube controller already, these come in handy if you need to sit somewhat far away in a regular sized room. I have had no trouble with these at all as they function properly and connection just as easily to any controller. Getting these beats paying the higher price for the Wavebird wireless Gamecube controllers. I'm on a budget so I'll just stick with a wired controller, no big deal."
Positief,"The gamecube controller wire is length has always been annoying. Once got these that solved that problem. They work great, fit right, and do not cause any controller lag. Great buy."
Positief,this really cam in handy we need a extra length for the controller and it was perfect exactly what we needed
Positief,"These extenders work as expected. I bought them when I wanted to buy Double Dash for the game cube to play on my Wii. If you're used to playing the Wii, you probably sit much further away than a standard GC controller will reach, so definitely pick some of these up."
Positief,"I bought this game way back and recently played it again.. well..the game was easy to beat when i was 6 and its still as easy.Well, my problem(s)?Not enough characters and its just not very fun and.. yeah that makes it boring.. but if ur a fan of the older games ( like me ) you may like this game ( unlike me )It's cheap now so, I guess it wouldn't hurt to pick it up.. it costs as much cash as to rent a game at the videostore..so do what you want with it."
Positief,"This Is Eaiser Than the first one, but it's pretty fun i liked it. You get to play some original characters like, Bad Mister Frosty, Taffy, The Blob,  Bonker& Ickybodclay(My Favorite).If You liked this game then check out, Clayfigter, C2: Judgement clay, Clay Fighter Extreme, Clayfighter 63 1/3: Sculptor's Cut, Clay Fighter: Tournament Edition."
